Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1659.586907437563,-0.0243093350121132,-15.53027598762791,150.9061399775908
1737.800828749376,-0.0240828506498399,-14.74719083805836,149.5303752141384
1819.700858609984,-0.0238626526005255,-13.96719378493873,148.0832666406764
1905.46071796325,-0.02445658651619498,-13.19003019399499,146.5337132218052
1995.262314968881,-0.02415159225705633,-12.41319964395116,144.9168810876237
2089.29613085404,-0.02464917184675088,-11.64156411721139,143.2087640025136
2187.761623949554,-0.02499580340916708,-10.87463583335036,141.4006156711342
2290.867652767775,-0.024818754382376,-10.11310513529026,139.5028465625257
2398.832919019491,-0.02447176763256939,-9.35698359590979,137.4898082068355
2511.886431509583,-0.02621056277295711,-8.608141040546188,135.3803838399881
2630.267991895385,-0.02574706739101598,-7.867164224015998,133.1574123462675
2754.228703338168,-0.02730870260373478,-7.137094583074747,130.8116857355663
2884.031503126609,-0.02709755770418167,-6.417011109892526,128.3447506868351
3019.951720402019,-0.02808818615994876,-5.710788720654735,125.7596201110797
3162.277660168382,-0.02755061956553959,-5.017602504154377,123.0410693413323
3311.311214825913,-0.02873146083499022,-4.342495394394422,120.1980432391578
3467.368504525317,-0.02882311776516027,-3.686371617501969,117.2233062629083
3630.780547701017,-0.02991738663156771,-3.051805931197386,114.1321645595385
3801.893963205613,-0.02899721533053561,-2.441829301449125,110.9291138552848
3981.071705534974,-0.03099224132470273,-1.857078351611706,107.6102920723481
4168.693834703357,-0.03114255958224981,-1.302285578692698,104.1969406811047
4365.158322401662,-0.03094332635293452,-0.7766665061014787,100.699758789975
4570.881896148752,-0.03143084870590841,-0.2848414867038747,97.14265337210429
4786.300923226388,-0.03188964700398969,0.1743209617432371,93.53777325711576
5011.872336272725,-0.03126057128814873,0.597480635426897,89.90276818813847
5248.07460249773,-0.03293350690484403,0.9864198198776362,86.26236215171963
5495.408738576246,-0.0306182264680902,1.340041869507601,82.64618026433844
5754.399373371573,-0.03170439066761294,1.660579589765716,79.06272500045282
6025.595860743581,-0.02973237870229084,1.945706006321844,75.53740986006531
6309.573444801934,-0.02919011322174632,2.200958535586553,72.084693439402
6606.934480075965,-0.0278312543735852,2.426690815194645,68.72252030034294
6918.309709189367,-0.03594323297575787,2.625393012611931,65.45541673785226
7244.359600749904,-0.02804590336784613,2.799051379838808,62.30376178638221
7585.775750291845,-0.0265603031991259,2.94974141684727,59.26849078687043
7943.282347242819,-0.02542112345817205,3.081578612646848,56.35318277382115
8317.637711026713,-0.02629771010884215,3.193787138334649,53.56324166197508
8709.635899560806,-0.02970350458704659,3.291136589679122,50.89476546274277
9120.108393559101,-0.03077250686427861,3.374725803437207,48.34862290154229
9549.925860214365,-0.0300780950029438,3.446540419714919,45.92303672227794
