Frequency (Hz),Trace 1 (V),Phase (deg),Trace 2 (V),Phase (deg)
0,0.001469348265429898,180,0.00707920296363683,180
10.98742686768677,0.001407973032811837,0.2438286746196959,0.006813712851872406,179.7507056290271
21.97485373537354,0.0009365143345275836,1.364782745936705,0.004522304072729472,179.737168008476
32.96228060306031,0.0002771973824486899,11.95933225901617,0.001306294249350995,0.1266159284542565
43.94970747074707,9.216182682406078e-05,85.46469512530237,3.27896010780529e-05,46.61069830610629
54.93713433843384,9.984670250910236e-05,85.77058720431701,6.431857116029876e-05,148.5774976948273
65.92456120612061,8.505876530856152e-05,77.95081363196053,2.732202810076345e-05,136.8234555212946
76.91198807380738,6.369728293921718e-05,56.05238135230257,1.736643669773513e-05,154.1925451993529
87.89941494149414,6.574589023566518e-05,40.39371431425731,2.670924609492791e-05,160.027997180707
98.88684180918091,6.35184578482923e-05,62.92943411665162,1.672666640249277e-05,83.88466961540637
109.8742686768677,5.022556839098937e-05,86.27896365238998,4.367823057823704e-05,130.5149208462241
120.8616955445545,4.982218449011939e-05,105.0634569175511,6.888981760582134e-05,140.2104431115829
131.8491224122412,7.518512529485441e-05,114.7473692977904,9.063575436626989e-05,127.0217506525129
142.836549279928,6.994451553050996e-05,115.4940608735493,8.839489256789876e-05,107.8100575659238
153.8239761476148,5.190567438358095e-05,94.82430885516818,8.035050969189527e-05,88.28944648604536
164.8114030153015,5.937861832934167e-05,71.23521468368058,8.416555084120273e-05,76.4161704870244
175.7988298829883,4.214033209389388e-05,35.23482416346749,5.151857901586437e-05,60.19402337097855
186.7862567506751,4.826290961527518e-05,148.0104142183743,1.817290359891439e-05,117.4238190932421
197.7736836183618,5.138106337525682e-05,115.7373848201818,4.917632771139017e-05,60.98872677316437
208.7611104860486,5.908290738778712e-05,91.40719588435587,5.852340435429838e-05,49.3389844536969
219.7485373537353,5.556705507119698e-05,95.15224208680925,5.181211447669427e-05,62.65135168481643
230.7359642214221,3.043435882125792e-05,114.664880274349,3.924080420835979e-05,92.58841383211386
241.7233910891089,2.981043713935449e-05,159.1333150265116,4.853969652767526e-05,138.403759884898
252.7108179567957,4.964134957393614e-05,174.7120409804955,8.313647827697685e-05,144.3849005246089
263.6982448244825,4.338129818214583e-05,4.493645525018244,8.817344021605352e-05,140.6139895946584
274.6856716921692,2.951464042267831e-05,8.605016457998499,6.642389123997118e-05,149.372304424581
285.673098559856,3.531878164417008e-05,178.3257668764973,4.881189309226798e-05,169.5643453546808
296.6605254275427,3.681096186749117e-05,168.9085270453809,3.778410906653977e-05,8.051785805447782
307.6479522952295,2.932131244907419e-05,138.1917545462134,3.766706465801666e-05,179.5247245918924
318.6353791629163,3.148636166371511e-05,120.4698859552112,4.849657351963561e-05,153.280749389865
329.622806030603,3.168676208369111e-05,124.1991008869273,5.609299901771027e-05,138.2432483112104
340.6102328982898,2.801922130920654e-05,89.1905183689947,4.561337550158453e-05,125.5721506708559
351.5976597659766,2.705042598824831e-05,33.77122295094951,2.251606152969083e-05,86.07992141896229
362.5850866336634,2.080414564732626e-05,158.1173513030226,2.680738356363725e-05,159.9130238733407
373.5725135013501,2.286714759958525e-05,116.1566446219835,5.387394637003197e-05,123.4450733687012
384.5599403690369,3.714971013865335e-05,95.89746936397984,6.282817147972761e-05,108.7669398672477
395.5473672367236,5.411274497717033e-05,72.28232326213538,6.678576434456119e-05,84.09657830881245
406.5347941044104,4.967886223525611e-05,54.23713425681459,7.474437318509904e-05,61.30030597294639
417.5222209720972,2.279526892511027e-05,15.48283464383242,5.742076407139748e-05,47.21054185194044
428.509647839784,3.626056043085612e-05,112.4795356346236,3.229700111680567e-05,38.96370685153937
439.4970747074707,6.967029701886195e-05,93.64284495172421,8.903134960141889e-06,152.5730370302391
450.4845015751575,9.370970689794644e-05,93.69895121415912,3.996952953202979e-05,90.94555863475917
461.4719284428443,8.972890108976547e-05,97.51118517431392,6.040129439939247e-05,93.49901695496172
472.459355310531,6.822221421764662e-05,100.2408452095869,7.363286633536811e-05,95.50649267223596
483.4467821782178,5.362357769515085e-05,113.7314501208855,8.93261448696074e-05,96.30451803428225
494.4342090459045,3.626200241806093e-05,124.9329873125428,8.337995740098341e-05,89.86661616026774
505.4216359135913,1.405219250816081e-05,171.4491211199827,6.345765177654605e-05,70.97261150369424
516.4090627812781,3.59604511780766e-05,58.53672933611308,4.470605432493979e-05,57.9334036470924
527.3964896489649,6.645727254451895e-05,71.06912410404101,2.262710662146367e-05,93.73870600970341
538.3839165166517,8.406046888173938e-05,74.81805030141969,3.168653762494064e-05,149.0736595231656
549.3713433843384,7.006994380616031e-05,73.66387249922063,3.855739026660642e-05,152.1466902557984
560.3587702520251,2.602355075412965e-05,85.49394047350238,4.609446153461221e-05,145.7979999972788
571.346197119712,3.417965761564766e-05,19.96679000900163,4.526267912689411e-05,130.9567729073835
582.3336239873987,7.029233885840237e-05,16.17391177699377,2.625997654697901e-05,81.9552725417515
593.3210508550854,8.902618057439738e-05,173.7992210166527,3.065988724998662e-05,1.798042420036901
604.3084777227722,0.000102066367586362,147.7375872153944,4.530111887045603e-05,150.2165151346629
615.295904590459,0.0001023521732658245,128.2831391323806,5.220712229094955e-05,138.9463360452712
626.2833314581458,0.0001004825101619544,110.4896384122059,5.074548236278403e-05,118.8769950199937
637.2707583258325,9.782717452803946e-05,104.6965308829004,5.109965388683102e-05,90.08290606345336
648.2581851935194,8.638782230701771e-05,111.1946066429514,4.538800431213364e-05,62.54881856074862
659.2456120612061,8.841855265363318e-05,114.3071098192534,4.305955297182632e-05,45.52622970717712
670.2330389288928,8.801857676368801e-05,122.5704982748349,3.835544126631351e-05,53.29163098161663
681.2204657965796,6.675159603547258e-05,152.6734726103241,2.076395882613705e-05,58.08558232121463
692.2078926642664,6.46228955793239e-05,20.14068491800899,1.368627965888168e-05,151.6353811297541
703.1953195319531,8.388709157441314e-05,39.16852225783834,2.76059261606657e-05,128.3351004348174
714.1827463996399,9.285577434435944e-05,45.46775792471068,2.865735100109476e-05,119.4747875660386
725.1701732673267,8.559380845688343e-05,47.70552626014745,2.549768149071963e-05,128.7635357050252
736.1576001350135,7.202438419480325e-05,40.77433128197389,1.27762285410925e-05,12.55612427005215
747.1450270027002,6.106856049583715e-05,42.00820807244499,4.290435784137916e-05,98.45832801989265
758.1324538703869,6.58323550039632e-05,62.31273501043323,6.860659011606261e-05,103.9099656282559
769.1198807380738,7.937654104816625e-05,70.5914878475303,6.992640283299306e-05,107.9889681864823
780.1073076057605,8.351924326669228e-05,66.26121770764478,6.223475565613112e-05,117.4965171565991
791.0947344734473,8.733153119816055e-05,52.24147778312223,5.321652061628606e-05,137.7460522942544
802.0821613411341,9.958163994970813e-05,29.45575597658011,6.847695460736128e-05,165.4734292718508
813.0695882088208,0.0001098543227917316,17.71066720686952,8.394140110705045e-05,178.52144437935
824.0570150765076,0.0001063958952812387,8.533183645842792,9.408198548787878e-05,177.6638261605436
835.0444419441943,9.192558765317411e-05,171.0691299135423,0.00010135368295609,169.7327313790046
846.0318688118812,5.911519168046973e-05,156.6621106691023,6.982162313018887e-05,168.8610116066713
857.0192956795679,3.852081979593801e-05,141.1888814964159,3.184697104722608e-05,174.3853510970272
868.0067225472546,3.892597512026098e-05,139.368217680574,2.527664351909612e-05,3.645073905261087
878.9941494149414,3.978441987777117e-05,0.5657303762971516,2.823973363314554e-05,32.61641455357253
889.9815762826282,6.113990571942504e-05,26.64923665544726,2.746806911625398e-05,42.08275649355154
900.969003150315,7.290619596955719e-05,37.64870773115567,3.139176579590116e-05,21.45204871001766
911.9564300180017,8.253420476592213e-05,56.96772684560553,4.627084944956364e-05,37.71913782090258
922.9438568856885,8.198363642265324e-05,72.62702919670434,7.223771174160922e-05,59.93305790123149
933.9312837533753,6.498756496445518e-05,86.07836640221333,9.853381329411395e-05,66.01565036195801
