Frequency (Hz),Trace 1 (V),Phase (deg),Trace 2 (V),Phase (deg)
0,0.006330935653849134,180,0.006669530144685365,180
10.98742686768677,0.006099504546172696,179.881602344951,0.00644786237155988,179.8607755785055
21.97485373537354,0.004059204997556223,179.6597955754418,0.004322771563664204,179.2877726340894
32.96228060306031,0.001191806778432774,179.9621089567331,0.001320400191041943,178.1140346651712
43.94970747074707,5.476626247059408e-05,35.47704255417371,0.0001180845851039639,173.4173704910426
54.93713433843384,5.704129286874022e-05,125.9682608419704,1.764024340457831e-05,112.6046151253985
65.92456120612061,5.433365446492438e-05,115.6415367094156,1.184096144908997e-05,79.16711839975484
76.91198807380738,4.55753007861485e-05,129.2960144318725,2.288787979188332e-05,47.19979372926062
87.89941494149414,2.738750921574459e-05,149.9435915261164,4.893728359952049e-05,50.74827852370036
98.88684180918091,1.085709614656609e-05,131.2407063158745,4.366293851651846e-05,45.60964666767719
109.8742686768677,1.600032671741323e-05,90.20021306388392,3.732896900520409e-05,55.62096113415738
120.8616955445545,1.719984483822164e-05,79.41491720984492,4.160383624614987e-05,79.30487774799623
131.8491224122412,1.508331940504175e-05,95.10680257927483,3.71550893055617e-05,111.0000327993972
142.836549279928,2.153349045459334e-05,118.3565518719895,4.961658195301285e-05,135.7633980984959
153.8239761476148,1.469559378987617e-05,98.07343940371837,5.801524054927196e-05,144.4767695362189
164.8114030153015,1.624597795095191e-05,20.36426477433719,4.978320543962744e-05,159.0775635276318
175.7988298829883,3.415434477931967e-05,3.444672106648111,5.346972903332289e-05,169.0013904432818
186.7862567506751,5.83497309625548e-05,167.9102216320322,7.397798849983791e-05,164.9837736918148
197.7736836183618,7.212677310330176e-05,160.6444442722223,7.603953540164844e-05,158.7819398265087
208.7611104860486,6.347968398115623e-05,164.166434361867,6.071886798957055e-05,142.1110703667985
219.7485373537353,4.39306604600192e-05,172.5383765138763,4.573689582003155e-05,141.5936529917231
230.7359642214221,2.176677554915394e-05,34.51636947469004,2.097051538498205e-05,44.02204488955292
241.7233910891089,2.364919130411729e-05,93.96761956836944,5.895200470526383e-05,110.3132562495568
252.7108179567957,1.659027905804949e-05,119.1068225515254,8.985409637630376e-05,103.7990364616353
263.6982448244825,7.660331910032774e-06,139.6768677684976,0.0001084597837172121,96.03283500261686
274.6856716921692,3.746127017065148e-06,159.191733008647,9.587810780765292e-05,104.9653115984533
285.673098559856,1.79902571700083e-05,126.3337222899559,7.541527826262089e-05,119.8199087932168
296.6605254275427,2.926561995679121e-05,102.305335447175,7.12130887159334e-05,131.3972473719728
307.6479522952295,3.548070234587463e-05,72.30851825565379,6.853886534202818e-05,140.2278753083105
318.6353791629163,4.735904566875312e-05,41.54497934164907,5.48171802381802e-05,148.6214407000512
329.622806030603,5.401576477409286e-05,25.17192589072668,2.592516106895337e-05,165.0592222872503
340.6102328982898,4.352920453438315e-05,1.689001380738237,2.186893113173587e-05,131.2261939147707
351.5976597659766,3.803675551976945e-05,143.2950797443693,5.230953885336821e-05,133.6279200473103
362.5850866336634,3.11174686161565e-05,107.2518423269387,6.055107709700087e-05,119.8767069327066
373.5725135013501,1.721770415160313e-05,72.00823110644211,4.773927187712946e-05,118.095503916054
384.5599403690369,7.396061987490098e-06,16.41870491657674,1.55999478479981e-05,130.0118665975181
395.5473672367236,2.647998222290764e-05,30.27726921062165,1.112280992033751e-05,79.55210831158783
406.5347941044104,2.258320670115668e-05,60.04352847274318,3.186480049223181e-05,20.80385898610048
417.5222209720972,2.292822113566359e-05,143.4155931742702,6.418527394893709e-05,173.8308504014321
428.509647839784,4.32662161986996e-05,13.18356340838269,7.17509079551952e-05,156.475658017279
439.4970747074707,5.865273494956684e-05,34.22941433579869,6.435030634710471e-05,142.4161979990569
450.4845015751575,5.901529523162799e-05,57.7442952219401,4.137856931894212e-05,116.2324285460337
461.4719284428443,6.522071136249409e-05,91.85383921255479,3.805475107033962e-05,37.03785164061499
472.459355310531,7.698199208598116e-05,111.5112199893938,6.110499666256361e-05,175.1860734365142
483.4467821782178,7.460070701509995e-05,111.714935746261,6.604520099835592e-05,149.2477393023497
494.4342090459045,5.763816219037914e-05,96.62461791654955,5.984411273700543e-05,126.3522991024089
505.4216359135913,4.413149813426087e-05,74.47566473027965,6.450725073621427e-05,96.99585476218115
516.4090627812781,3.927888737018775e-05,52.90980422211721,8.195288768804458e-05,73.3120574441768
527.3964896489649,3.486222190972627e-05,35.05510600301574,7.48498318248383e-05,57.70361768747504
538.3839165166517,2.959834664117652e-05,27.83772899256597,5.986538751323213e-05,38.84207050828408
549.3713433843384,2.84034146562661e-05,16.75569375674807,7.052938841513792e-05,17.89987147852838
560.3587702520251,2.754403203754978e-05,178.9050923038398,8.034373200274241e-05,5.347622389092828
571.346197119712,2.255111877828114e-05,6.372750746646656,7.272591227085281e-05,10.67461658807032
582.3336239873987,2.251313579247153e-05,50.29969613419021,6.977744008656037e-05,38.89614628547699
593.3210508550854,2.968724744140579e-05,79.80341955092793,6.164048671559579e-05,76.61206494222623
604.3084777227722,3.939879739251764e-05,102.889995373987,7.471508567274917e-05,117.969221254351
615.295904590459,5.087753537099176e-05,118.1796669688091,9.113270952627022e-05,126.4422015860883
626.2833314581458,4.27771020613817e-05,125.3614600059205,6.689968802287091e-05,121.1037089839897
637.2707583258325,2.733234242617106e-05,159.0765129366415,4.08299037732228e-05,85.18001392431617
648.2581851935194,3.801917446714486e-05,20.48540826936553,4.775631145449413e-05,38.51707084282227
659.2456120612061,4.650007320249331e-05,29.59190638149162,5.554081973758041e-05,6.071642291233045
670.2330389288928,5.185544347597081e-05,25.99632220872828,4.998296178100889e-05,171.8207611788807
681.2204657965796,5.428858386407589e-05,16.03596677485418,2.536118948036683e-05,140.0974766863412
692.2078926642664,4.847521164316697e-05,171.6145564968742,3.144266847381792e-05,49.06951109743484
703.1953195319531,4.941173736893372e-05,143.0255288338331,4.795557487804287e-05,21.89582757894076
714.1827463996399,4.414435220239808e-05,136.6315148036918,5.52031503548203e-05,12.31446090628511
725.1701732673267,2.965688188612011e-05,147.7708252571639,5.738911312820646e-05,3.833856081824468
736.1576001350135,1.725835621658204e-05,163.4305379113897,4.150735381822914e-05,165.9933911722745
747.1450270027002,1.000744650763635e-05,18.06449361891918,2.70087909185422e-05,128.3419919348516
758.1324538703869,9.40550827529787e-06,79.74571116990657,1.907671743064344e-05,102.9427512249411
769.1198807380738,8.545309747002849e-06,92.26942112355461,2.029107521290851e-05,84.69479959033455
780.1073076057605,1.358623168950325e-05,173.0601113966516,2.76703329585977e-05,98.24695062764448
791.0947344734473,3.385882411602125e-05,160.0722004002347,2.637634479621392e-05,142.8117721004881
802.0821613411341,3.592404831949949e-05,170.5699816567727,2.590142368132755e-05,3.52899425009129
813.0695882088208,1.56181662883836e-05,161.0872687475634,1.852598538508682e-05,6.340145059092839
824.0570150765076,1.964327573528552e-05,32.25403239133203,1.471413587383626e-05,174.1890010725338
835.0444419441943,4.564720998881412e-05,2.997630849170605,1.041106185692849e-05,151.0090631907963
846.0318688118812,6.628478483709884e-05,178.9121149789858,5.107459303192015e-05,1.682905517209056
857.0192956795679,6.926637754835689e-05,5.59670263087243,6.644071436143845e-05,12.10384904211173
868.0067225472546,6.437134645384175e-05,11.37911028891062,5.866713761159403e-05,9.364250500067898
878.9941494149414,5.237675095470596e-05,14.29857290946275,5.069324362667266e-05,3.114789248446474
889.9815762826282,3.483313148796322e-05,20.18627360458721,2.56047289423233e-05,23.4377719470012
900.969003150315,2.824043436982511e-05,22.16141073591448,3.228792338393316e-05,117.9250587374083
911.9564300180017,1.731713273571864e-05,34.55354773968767,5.188435591365319e-05,141.5581838237382
922.9438568856885,1.468866672399218e-05,91.75291806366361,5.223578552563957e-05,156.8720863622742
933.9312837533753,2.342936241282755e-05,61.34303572865311,5.130890187206212e-05,153.2688584086884
944.918710621062,3.153179676513704e-05,34.09436914605038,6.154934850811476e-05,151.9126501915033
955.9061374887488,2.186045822504819e-05,13.79549523236716,7.552644481385628e-05,163.0872283997378
966.8935643564356,1.662414680809471e-05,129.3137777680748,8.002774359433496e-05,163.0129938070957
977.8809912241223,2.666648207534185e-05,97.21677034930632,7.272398612222935e-05,165.4551766476634
988.8684180918091,2.89231690515757e-05,88.9862822420907,7.23354078204933e-05,14.90618933813169
999.8558449594959,2.693220568976948e-05,91.22573573154696,8.856930940878764e-05,40.65253214486401
1010.843271827183,2.535841627296083e-05,102.513754524155,9.526068527066325e-05,57.42867752255662
1021.830698694869,2.1206678879532e-05,99.41344845808922,0.0001041297535437064,67.53397460793504
1032.818125562556,2.436594797987711e-05,62.45599766546426,0.0001010882502207555,63.76356106697484
1043.805552430243,3.71499019442193e-05,50.5758713783643,7.105622915135008e-05,58.41552656347552
1054.79297929793,4.097442368031505e-05,41.36494155824062,4.064075845932591e-05,58.10053447193275
1065.780406165617,5.173837907071855e-05,34.03666287418067,1.968241042374959e-05,30.15238569173133
1076.767833033303,6.0408452930918e-05,41.80657794374909,1.907704768564942e-05,106.5990052526895
1087.75525990099,5.706809493402827e-05,43.13801569047807,3.063094229877994e-05,60.85840476519512
1098.742686768677,5.124916060628299e-05,28.0826915447243,3.979692532892464e-05,32.08639924866007
1109.730113636364,2.975162383737978e-05,7.140400211394083,4.856746981335454e-05,25.24266881566454
1120.71754050405,5.430033344253647e-06,85.4654130242631,3.145282027046733e-05,35.4621362044096
1131.704967371737,2.183054955025814e-05,0.3210552243453499,1.161094972654293e-05,150.709715667993
1142.692394239424,3.941363039012498e-05,163.1216228986993,3.586053532447345e-05,175.7334377760327
1153.679821107111,4.847165462488723e-05,148.5018805467881,6.372821060287369e-05,174.6794431983182
1164.667247974797,4.453990773690493e-05,137.7280887210117,6.910996807458551e-05,10.32257719137041
1175.654674842484,2.172025201153039e-05,140.0406361292985,4.077955463673943e-05,28.83630854843248
1186.642101710171,1.571629871617532e-05,88.56826390773449,1.668963329219234e-05,42.09259791908497
1197.629528577858,2.932855358642289e-05,92.35147983249722,3.140828345058398e-05,115.4443076909139
1208.616955445544,2.205473216540726e-05,78.75429585544533,5.609906844192995e-05,126.6835255911032
1219.604382313231,1.495562697673982e-05,29.71999164720203,4.872990378368695e-05,118.3761470810592
1230.591809180918,2.523107942462565e-05,154.5847378363656,5.009348866317447e-05,107.3901339836017
1241.579236048605,3.023262585804839e-05,125.3320326384157,5.184026466932498e-05,96.04188751406387
1252.566662916292,2.280841754933251e-05,95.42681901652983,2.525079258474293e-05,76.15357120543275
1263.554089783978,1.868676989404715e-05,12.60071538841359,1.065739223779744e-05,87.98776906563999
1274.541516651665,3.831540386171936e-05,148.1033962431874,1.085349773956023e-05,69.08072897928571
1285.528943519352,3.994199030008833e-05,119.1240849349434,1.274481416159749e-05,53.68756699360384
1296.516370387039,4.631283608086783e-05,86.58691643714238,3.317549786450268e-05,33.31586610905138
1307.503797254725,6.049382867539892e-05,69.02228030323428,4.337579119096096e-05,17.58670107824817
1318.491224122412,7.070152795805012e-05,58.39746406005536,3.664147762399719e-05,167.8855201130216
1329.478650990099,7.493617680726829e-05,55.55809769707221,5.116921535747516e-05,112.6400299301638
1340.466077857786,6.831241505746174e-05,54.77922156660453,8.025163364495813e-05,79.88869504856179
1351.453504725472,4.543157761395137e-05,66.97565937855416,8.723095282476098e-05,59.10952863563974
1362.440931593159,3.155373557005181e-05,122.3774307418945,5.57363090388428e-05,47.6299587711164
1373.428358460846,4.348832045953852e-05,170.1506999823489,1.555923258403803e-05,58.82891926897521
1384.415785328533,5.918881408479592e-05,13.32212644679553,2.479030494296037e-05,159.416517986626
1395.40321219622,6.416584041956072e-05,24.12207444370637,4.343880935889789e-05,166.1886044868469
1406.390639063906,4.700028309122246e-05,38.63153384354142,3.652271677809544e-05,148.7664722032441
1417.378065931593,2.322714146395894e-05,65.46256807210253,3.87392745685747e-05,90.92013939544316
1428.36549279928,3.342512849688899e-06,58.2855367984425,5.617619300027623e-05,62.1610642597197
1439.352919666966,2.140569659166698e-05,123.3764447628418,6.074386960518754e-05,63.49254820927979
1450.340346534653,3.922792789727726e-05,125.2147122424434,6.148375976682079e-05,79.96973092405187
1461.32777340234,4.347942650552416e-05,124.7599251639539,4.969109969790349e-05,98.88268400284005
1472.315200270027,3.281432656444185e-05,125.9130104838424,4.508233560859986e-05,139.5666560063537
1483.302627137714,4.791447978631845e-06,90.47576159259992,5.087977163890251e-05,153.4797100940306
1494.2900540054,2.692013624446385e-05,155.8428304506003,5.208941555777125e-05,154.4599903866412
1505.277480873087,4.331692635912815e-05,154.4500943034589,5.912676604425537e-05,163.468651688958
1516.264907740774,4.370401014931045e-05,162.7157515391517,6.547816417818779e-05,164.0125112913685
1527.252334608461,3.366809612992129e-05,19.00545178169458,7.783671190592835e-05,156.8686754859979
1538.239761476148,3.271228741613285e-05,58.66938530144412,9.114503161653156e-05,155.9206060872219
1549.227188343834,2.689870937930244e-05,98.538542360417,0.0001030096195223506,154.8652641585973
1560.214615211521,2.258336428361695e-05,163.1615853973261,9.365160623646991e-05,148.380260830567
1571.202042079208,2.58451090334341e-05,41.20948132062298,5.574545191376039e-05,128.0556430117137
1582.189468946895,1.514845609446951e-05,67.39412538873329,4.266298633917665e-05,66.71995484585176
1593.176895814581,1.645719515510712e-05,22.80374487829938,7.314198519019781e-05,23.08620284809357
1604.164322682268,4.697306401906772e-05,32.63009286949791,0.0001044641502527861,10.89543772507996
