Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-0.02088934825641286,5.989326838615025,-1.17122233857981
104.7128548050901,-0.02090117903918101,5.988925785012825,-1.225643952204734
109.6478196143186,-0.02038279864691062,5.988441185551657,-1.282879881865924
114.8153621496884,-0.02044996588055287,5.988127326495577,-1.343905498772969
120.2264434617413,-0.02102860122108344,5.988026039571499,-1.407526548689134
125.8925411794169,-0.02092008995334587,5.987570302790388,-1.473102047520721
131.8256738556409,-0.02062667259776124,5.987163690386596,-1.542924080890593
138.0384264602885,-0.02058668488072741,5.986953616798598,-1.614989982610695
144.543977074593,-0.02208244032112898,5.986417283311631,-1.691078257377285
151.356124843621,-0.01990534529220992,5.98590478693391,-1.77017353001105
158.4893192461114,-0.02049663346913351,5.985548087453616,-1.852680287739616
165.9586907437563,-0.02128498320870338,5.985021343955935,-1.939882188047193
173.7800828749376,-0.02070875252017616,5.984137584049155,-2.031143566511119
181.9700858609985,-0.02047456236797935,5.983721928084504,-2.127145722226885
190.546071796325,-0.02057013721126003,5.983280969955592,-2.22581879041968
199.5262314968881,-0.02051169062905235,5.982144504651764,-2.330272390368492
208.9296130854041,-0.0206028085479304,5.981285507887616,-2.43932199711449
218.7761623949555,-0.0209195830040969,5.980182793281728,-2.553815734917436
229.0867652767775,-0.02067662462208335,5.979738452706515,-2.674436305406459
239.8832919019493,-0.02161280139221814,5.97833237125184,-2.797998487519578
251.1886431509582,-0.02026533403398269,5.977177838124483,-2.930006115880559
263.0267991895385,-0.02186533834835369,5.975844753035711,-3.065506122627665
275.4228703338169,-0.01958155452486383,5.974362144521473,-3.209810039556373
288.4031503126609,-0.02209030254145699,5.972829891198856,-3.361461122619353
301.995172040202,-0.01975557239332112,5.971139436668793,-3.519738121313878
316.2277660168383,-0.02043582702178627,5.96930307333146,-3.682911260345435
331.1311214825915,-0.02029553752501743,5.967422951335982,-3.855455586225732
346.7368504525317,-0.02039034123691143,5.965165161587993,-4.036136971845821
363.0780547701018,-0.02133899338694199,5.962864385383972,-4.224570345232632
380.1893963205617,-0.02049818967015733,5.960595956120801,-4.421901440753306
398.1071705534974,-0.02184373014270375,5.958026340234561,-4.629067756455299
416.869383470336,-0.02114850445425748,5.95495433931402,-4.844143615381455
436.5158322401666,-0.02051829605280987,5.951558460208065,-5.072137752377728
457.0881896148753,-0.02116708069874036,5.947611578794696,-5.307134253031464
478.630092322639,-0.02129008390576972,5.943710675110932,-5.554648957181456
501.187233627273,-0.02102683793091268,5.939491815383022,-5.814039644504092
524.8074602497729,-0.02097403487448139,5.93480622278509,-6.085037556626531
549.5408738576255,-0.02161566624245447,5.93012668071558,-6.36809196181045
575.4399373371579,-0.02111388985810966,5.924488050155166,-6.662255479523502
602.5595860743581,-0.02122596277747145,5.918417886558652,-6.97301267920416
630.9573444801937,-0.0211674619777676,5.911933318978635,-7.294522400057474
660.6934480075965,-0.02121870829639997,5.904906527281701,-7.633875333646273
691.8309709189371,-0.0221151130633342,5.897413058511435,-7.986554980358024
724.4359600749907,-0.02182069507056834,5.888964513195315,-8.356618808561734
758.5775750291845,-0.0211329991990332,5.879257580687622,-8.743378780696204
794.3282347242822,-0.0211758241314743,5.869417220521379,-9.144393988948341
831.7637711026719,-0.02213144859256575,5.858586015739515,-9.566576089561778
870.9635899560816,-0.02180165286343085,5.846529286507333,-10.00557902447184
912.0108393559107,-0.02211624687310458,5.833554916948934,-10.46455695294665
