Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,0.0129896713850493,-0.0289708155625985,-1.19307964604775
104.7128548050901,0.01200502433060587,-0.02943175015228486,-1.251107199995658
109.6478196143186,0.01187259740123612,-0.02957682298586582,-1.307900261996267
114.8153621496884,0.01317117979051526,-0.02988023137177685,-1.369494134004725
120.2264434617413,0.01249422402112404,-0.03076409734591498,-1.435629204285931
125.8925411794169,0.01339152229273929,-0.0307098883878904,-1.502882787507644
131.8256738556409,0.01352536783621336,-0.03138780763958559,-1.573762050905344
138.0384264602885,0.01290896417765883,-0.03168455130575279,-1.646949772368288
144.543977074593,0.01306453005926699,-0.03192099014107163,-1.725412717442936
151.356124843621,0.01205319071193119,-0.03223629501594726,-1.805571717237981
158.4893192461114,0.0140136825673037,-0.03311271447049745,-1.889693718116384
165.9586907437563,0.01289751519486174,-0.03369270802464046,-1.978492264472641
173.7800828749376,0.01303466896928791,-0.03428539276648108,-2.071195646884291
181.9700858609985,0.0126560941824737,-0.03499702241640108,-2.167028448085972
190.546071796325,0.01269309194988853,-0.03580050451681028,-2.269328978092361
199.5262314968881,0.01350746767066515,-0.03684391116778608,-2.376868719106838
208.9296130854041,0.01313340525283136,-0.03740709129507749,-2.487591314522614
218.7761623949555,0.01204782431469633,-0.03859351090153779,-2.603824714027212
229.0867652767775,0.01290895546641972,-0.039617480485519,-2.727462583158029
239.8832919019493,0.01335053756572922,-0.04080610535489383,-2.855193200704434
251.1886431509582,0.01206344395863618,-0.04179621321305004,-2.987987467812054
263.0267991895385,0.01274213147200435,-0.04338736658220635,-3.128075533233186
275.4228703338169,0.01231632196958521,-0.04496136817786638,-3.275680621256967
288.4031503126609,0.01254294217193171,-0.04626791427964662,-3.426809605591245
301.995172040202,0.01217879558494637,-0.04821254162130328,-3.587548033850862
316.2277660168383,0.01262743365946804,-0.05036224847121764,-3.754874922487502
331.1311214825915,0.01271042988582241,-0.0525530442659769,-3.930685724406445
346.7368504525317,0.01281920450973263,-0.05477861661174754,-4.114105631888435
363.0780547701018,0.01250771115609552,-0.0570001969896124,-4.307149422930486
380.1893963205617,0.0116074873642768,-0.06006019931137552,-4.508028663349487
398.1071705534974,0.01327469360576132,-0.0626456939402177,-4.715686356668797
416.869383470336,0.01213896749486086,-0.06623292238193335,-4.935194245688968
436.5158322401666,0.01285459570485081,-0.06933608314390131,-5.166396196530897
457.0881896148753,0.01270396680826816,-0.07299943207322016,-5.407661293128726
478.630092322639,0.01416605192984965,-0.07772062554895848,-5.658377120702006
501.187233627273,0.01317002167153599,-0.08223159656884944,-5.920588421909954
524.8074602497729,0.01297038537162359,-0.08706030725971396,-6.194276557061649
549.5408738576255,0.01311507208194397,-0.09256053211093856,-6.483746076932661
575.4399373371579,0.01256611405397415,-0.09834529373007503,-6.781402526764396
602.5595860743581,0.01278843430298028,-0.1046650040024295,-7.095635142919342
630.9573444801937,0.01254422848345393,-0.1112329346923595,-7.42854276256908
660.6934480075965,0.01227097517665168,-0.1191149193485597,-7.770087989118434
691.8309709189371,0.01223504968087559,-0.1273977876726134,-8.126849182937463
724.4359600749907,0.01186047214581099,-0.1361650911283949,-8.505435831324242
758.5775750291845,0.01223628153475849,-0.1460100257142478,-8.893696585166765
794.3282347242822,0.01185255152896893,-0.1564228123037453,-9.303198674553684
831.7637711026719,0.0123190832360328,-0.1683044883801112,-9.725584336589662
870.9635899560816,0.01225705723122963,-0.1812348678981842,-10.1748380479242
912.0108393559107,0.01237411282221949,-0.1951884492855385,-10.63799347665159
954.9925860214371,0.0110009698157292,-0.2099258741703512,-11.12123508303449
1000,0.01270364549722399,-0.2265759406015118,-11.62721821279513
1047.128548050901,0.01116113701011605,-0.2443832006381647,-12.15802530637015
1096.478196143186,0.01087944486469604,-0.2641513774792587,-12.70742235446926
1148.153621496883,0.01128949207041308,-0.2846790964795247,-13.27877059771936
1202.264434617414,0.01148602177861378,-0.3079075622028255,-13.87720041897896
1258.925411794168,0.01214022562524081,-0.3334226619038177,-14.49997671803274
1318.256738556408,0.01089913513820127,-0.3606959830093903,-15.14268484737019
1380.384264602886,0.01079437559468501,-0.3903193484059558,-15.81504119463622
1445.439770745929,0.01241267510867047,-0.4228270341955768,-16.51415015841344
1513.561248436209,0.01244472550042533,-0.4577646398345639,-17.24019477819473
1584.893192461115,0.01130101956932299,-0.4955335294807477,-17.99279481140314
1659.586907437563,0.01140833598776218,-0.5366188609064384,-18.77571584555304
1737.800828749376,0.01161242212373629,-0.5810055700048313,-19.58330550907596
1819.700858609984,0.01160984914757261,-0.6293501269675199,-20.42290848105668
1905.46071796325,0.0110827911541504,-0.6811117052700483,-21.2913202730158
1995.262314968881,0.01023747973065578,-0.7377976347534078,-22.18231732740935
2089.29613085404,0.01031785013153088,-0.7984752354960825,-23.10603629782948
2187.761623949554,0.01104349928278621,-0.863958150209778,-24.05880828914997
2290.867652767775,0.01149076898720564,-0.9344910975180737,-25.0430908223048
2398.832919019491,0.01047341660591748,-1.010231833334559,-26.05684014225943
2511.886431509583,0.010794425608006,-1.092247950950223,-27.0939111448859
2630.267991895385,0.01037896132020497,-1.180045870411638,-28.16063169085501
2754.228703338168,0.009898529212299889,-1.273458119904223,-29.24777407195234
2884.031503126609,0.0102258671530195,-1.372423397355442,-30.35384169568876
3019.951720402019,0.009970042912153478,-1.479204455135192,-31.49184709899598
3162.277660168382,0.009418242971871708,-1.594337962087252,-32.65628315116939
3311.311214825913,0.008706052598104251,-1.714464376822813,-33.83554858520529
3467.368504525317,0.009356319566227114,-1.843532893866679,-35.03730427153063
3630.780547701017,0.008857433838048889,-1.980838195762809,-36.26230465617169
3801.893963205613,0.009940147555999123,-2.125824564155583,-37.50229354010676
3981.071705534974,0.008508145436658787,-2.279991597818354,-38.74659036746473
4168.693834703357,0.009859250065853198,-2.440615381979997,-40.0033527021869
4365.158322401662,0.00926208410083681,-2.610748472192277,-41.27426798537447
4570.881896148752,0.009846257638158685,-2.790687746846516,-42.55487834084114
4786.300923226388,0.009199611653121369,-2.97785208979483,-43.82595390970418
5011.872336272725,0.01018218349734999,-3.175937341926224,-45.1157713139645
5248.07460249773,0.008285049474858894,-3.380626410218554,-46.39209453821451
5495.408738576246,0.01028504880543054,-3.596023800848179,-47.67345419532781
5754.399373371573,0.008990901179037256,-3.818644960634539,-48.94122621535855
6025.595860743581,0.01021345649612431,-4.050910155897219,-50.20818357823197
6309.573444801934,0.0101763394667433,-4.291090719466423,-51.45316667497578
6606.934480075965,0.01111462482493179,-4.540119497711505,-52.68955769159125
6918.309709189367,0.002774567354438104,-4.797286271026579,-53.91044501992127
7244.359600749904,0.01076900351823813,-5.060225099264563,-55.1122273962298
7585.775750291845,0.01118244328192269,-5.333345658078388,-56.29147255118488
7943.282347242819,0.01214021743756783,-5.612019312441767,-57.44897719295828
8317.637711026713,0.009717138854123862,-5.89862052045825,-58.57682551837583
8709.635899560806,0.006840103939357104,-6.192279775022493,-59.69212278021408
9120.108393559101,0.004099075433786487,-6.49132529990265,-60.78553607920929
9549.925860214365,0.005686590765222998,-6.798487748480165,-61.83499495700973
10000,0.008502312623162929,-7.108976492045294,-62.87568460297759
10471.285480509,0.01445739008489896,-7.426235214357735,-63.87315599377305
10964.78196143186,0.01435731777031587,-7.749526732314392,-64.83925259122573
11481.53621496883,0.01422250471503603,-8.076355199882123,-65.78813125743463
12022.64434617414,0.01577386926478678,-8.409415042194784,-66.7023968854613
12589.25411794167,0.001032434994139639,-8.748222539525441,-67.59134322430907
13182.56738556407,0.01728104672694149,-9.089934856863708,-68.44824290775833
13803.84264602886,0.01724361629146435,-9.433519473253138,-69.2792973252964
14454.39770745928,0.01175144112961865,-9.782002932215722,-70.08814526934678
15135.61248436209,0.0181634074730482,-10.13505554927109,-70.85913640455567
15848.93192461114,0.01951344682635862,-10.49225530218633,-71.60244160543954
16595.86907437561,0.01813886271808961,-10.84683145712513,-72.3124874394051
17378.00828749377,0.02021042467739298,-11.20951510210979,-73.01099305149147
18197.00858609984,0.01600118299283659,-11.57338312389657,-73.66977976516284
19054.60717963248,0.02208745340999173,-11.94160431363579,-74.30777412800325
19952.62314968881,0.02169766713365631,-12.30714825822692,-74.92395103691521
20892.9613085404,0.02411114464613388,-12.67951486195264,-75.52206294767137
21877.61623949554,0.02456036289407186,-13.05273828413389,-76.06447940445696
22908.67652767773,0.0249687781767677,-13.42603552217538,-76.61783304803544
23988.32919019491,0.02550356621927157,-13.8052835670207,-77.1354945889336
25118.86431509582,0.01570552586614147,-14.17775167015565,-77.59947858636755
26302.67991895383,0.02794633056533365,-14.55930961398932,-78.09335525211898
27542.28703338168,0.02806794185589529,-14.93770010402475,-78.5407715694589
28840.31503126606,0.01931359539626491,-15.31900846092582,-78.98129745610034
30199.51720402018,0.03053269639711341,-15.70345926022651,-79.37537663836238
31622.77660168381,0.03265255511883396,-16.08929113251299,-79.76628043118289
33113.11214825911,0.03250165118997626,-16.47160024927942,-80.16556766140471
34673.68504525318,0.03615965475843616,-16.85988694245167,-80.4991514905704
36307.80547701016,0.03784210622201857,-17.24269130597487,-80.87277926771156
38018.93963205613,0.03772415011912977,-17.63123646720159,-81.18436571704993
39810.71705534974,0.03902715141702977,-18.02752910814549,-81.48877996377661
41686.93834703355,0.04058354089479776,-18.41543210189069,-81.81413761103397
43651.58322401661,0.04426024555336422,-18.79702004321262,-82.05611753241976
45708.81896148753,0.04466382265445581,-19.18290779485013,-82.36989084924727
47863.00923226384,0.04217329833317025,-19.57280540702832,-82.60292520399003
50118.72336272725,0.04175224468833634,-19.96118602283597,-82.8360290508671
52480.74602497726,0.05304332186423017,-20.3478125162258,-83.04441696635001
54954.08738576247,0.05431345197770304,-20.74887091056509,-83.29288873853386
57543.99373371572,0.05134103754501933,-21.12951001346023,-83.52404453730151
60255.95860743577,0.05735965804187242,-21.53433002144259,-83.66181418583575
63095.73444801934,0.05793642092624747,-21.92229170292475,-83.77006932014882
66069.34480075959,0.06191837550342318,-22.3281368873362,-84.06240486475485
69183.09709189367,0.06537761947901276,-22.71632000473592,-84.19732815670486
72443.59600749903,0.06408229407297679,-23.09139748399043,-84.39207037224617
75857.75750291838,0.0651259622629167,-23.48588485668831,-84.49845211104147
79432.82347242816,0.0563312583682609,-23.89407958606037,-84.57776594795502
83176.37711026715,0.06692192894117698,-24.27391165333223,-84.75364661397052
87096.35899560807,0.07163150409115489,-24.68110056870733,-84.83974646890601
91201.083935591,0.07108356772560052,-25.05923362623739,-84.93525153077115
95499.25860214359,0.0674092673104387,-25.4503943844183,-85.04751207663446
100000,0.07634010258118513,-25.87175645372005,-85.17143929244779
