% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 17.72 ms, time offset 117.5 us, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-20 T 16:59:00 +1100
% Time (s), Channel A (Input 1) (V), Freq (Hz), Math (Ch A FFT) (dBm)
-7.642544000000e-03, -8.414754e-01, 1.337952e-03, -3.887381e+01
-7.625168000000e-03, -8.219346e-01, 1.355328e-03, -3.260988e+01
-7.607792000000e-03, -8.402541e-01, 1.372704e-03, -4.712639e+01
-7.590416000000e-03, -7.474353e-01, 1.390080e-03, -3.940596e+01
-7.573040000000e-03, -6.411822e-01, 1.407456e-03, -5.089860e+01
-7.555664000000e-03, -4.995115e-01, 1.424832e-03, -4.637787e+01
-7.538288000000e-03, -3.175379e-01, 1.442208e-03, -6.163001e+01
-7.520912000000e-03, -1.294577e-01, 1.459584e-03, -4.828827e+01
-7.503536000000e-03, 7.449927e-02, 1.476960e-03, -5.734090e+01
-7.486160000000e-03, 2.467025e-01, 1.494336e-03, -5.371047e+01
-7.468784000000e-03, 4.604299e-01, 1.511712e-03, -5.650931e+01
-7.451408000000e-03, 5.959942e-01, 1.529088e-03, -5.144215e+01
-7.434032000000e-03, 7.046898e-01, 1.546464e-03, -5.532572e+01
-7.416656000000e-03, 8.011725e-01, 1.563840e-03, -5.759480e+01
-7.399280000000e-03, 8.720079e-01, 1.581216e-03, -5.800360e+01
-7.381904000000e-03, 8.891061e-01, 1.598592e-03, -5.613103e+01
-7.364528000000e-03, 8.585736e-01, 1.615968e-03, -5.587064e+01
-7.347152000000e-03, 8.451393e-01, 1.633344e-03, -5.534495e+01
-7.329776000000e-03, 7.132389e-01, 1.650720e-03, -5.994128e+01
-7.312400000000e-03, 5.984368e-01, 1.668096e-03, -6.527256e+01
-7.295024000000e-03, 4.201270e-01, 1.685472e-03, -6.956921e+01
-7.277648000000e-03, 2.430386e-01, 1.702848e-03, -7.671949e+01
-7.260272000000e-03, 3.786029e-02, 1.720224e-03, -6.885679e+01
-7.242896000000e-03, -1.489985e-01, 1.737600e-03, -6.205089e+01
-7.225520000000e-03, -3.321935e-01, 1.754976e-03, -6.663036e+01
-7.208144000000e-03, -5.312653e-01, 1.772352e-03, -6.491561e+01
-7.190768000000e-03, -6.436248e-01, 1.789728e-03, -5.941029e+01
-7.173392000000e-03, -7.474353e-01, 1.807104e-03, -5.801239e+01
-7.156016000000e-03, -7.889595e-01, 1.824480e-03, -5.765041e+01
-7.138640000000e-03, -8.365902e-01, 1.841856e-03, -5.747428e+01
-7.121264000000e-03, -8.365902e-01, 1.859232e-03, -5.727744e+01
-7.103888000000e-03, -8.182707e-01, 1.876608e-03, -5.525816e+01
-7.086512000000e-03, -7.486566e-01, 1.893984e-03, -5.234160e+01
-7.069136000000e-03, -6.021007e-01, 1.911360e-03, -5.127952e+01
-7.051760000000e-03, -4.653151e-01, 1.928736e-03, -5.319246e+01
-7.034384000000e-03, -2.747924e-01, 1.946112e-03, -5.784835e+01
-7.017008000000e-03, -9.281876e-02, 1.963488e-03, -6.233335e+01
-6.999632000000e-03, 1.221300e-01, 1.980864e-03, -6.261623e+01
-6.982256000000e-03, 2.906693e-01, 1.998240e-03, -6.153606e+01
-6.964880000000e-03, 4.811920e-01, 2.015616e-03, -6.139119e+01
-6.947504000000e-03, 6.326332e-01, 2.032992e-03, -6.374986e+01
-6.930128000000e-03, 7.401075e-01, 2.050368e-03, -8.117105e+01
-6.912752000000e-03, 8.402541e-01, 2.067744e-03, -5.903572e+01
-6.895376000000e-03, 8.634588e-01, 2.085120e-03, -5.318695e+01
-6.878000000000e-03, 8.781144e-01, 2.102496e-03, -5.172673e+01
-6.860624000000e-03, 8.329263e-01, 2.119872e-03, -5.367439e+01
-6.843248000000e-03, 8.158281e-01, 2.137248e-03, -6.111693e+01
-6.825872000000e-03, 6.875916e-01, 2.154624e-03, -5.633823e+01
-6.808496000000e-03, 5.495848e-01, 2.172000e-03, -5.000843e+01
-6.791120000000e-03, 3.847093e-01, 2.189376e-03, -4.830325e+01
-6.773744000000e-03, 1.954079e-01, 2.206752e-03, -4.994664e+01
-6.756368000000e-03, 0.000000e+00, 2.224128e-03, -5.576965e+01
-6.738992000000e-03, -2.063996e-01, 2.241504e-03, -6.577334e+01
-6.721616000000e-03, -3.663899e-01, 2.258880e-03, -5.881220e+01
-6.704240000000e-03, -5.654617e-01, 2.276256e-03, -5.849504e+01
-6.686864000000e-03, -6.765999e-01, 2.293632e-03, -6.336143e+01
-6.669488000000e-03, -7.510992e-01, 2.311008e-03, -7.985976e+01
-6.652112000000e-03, -8.146068e-01, 2.328384e-03, -7.628851e+01
-6.634736000000e-03, -8.585736e-01, 2.345760e-03, -7.909314e+01
-6.617360000000e-03, -8.414754e-01, 2.363136e-03, -6.464118e+01
-6.599984000000e-03, -7.828530e-01, 2.380512e-03, -5.969291e+01
-6.582608000000e-03, -7.291158e-01, 2.397888e-03, -5.883009e+01
