% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 2.000 Vpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 100 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 141.2538 kHz to 141.2538 Hz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2023-03-20 T 15:41:28 +1100
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg)
3.32521658e+04, -6.5932e+00, -9.1053e+01
3.28056839e+04, -6.4812e+00, -9.0790e+01
3.23651970e+04, -6.3675e+00, -9.0533e+01
3.19306245e+04, -6.2515e+00, -9.0286e+01
3.15018871e+04, -6.1366e+00, -9.0031e+01
3.10789065e+04, -6.0242e+00, -8.9767e+01
3.06616052e+04, -5.9107e+00, -8.9541e+01
3.02499072e+04, -5.7980e+00, -8.9283e+01
2.98437370e+04, -5.6831e+00, -8.9032e+01
2.94430206e+04, -5.5657e+00, -8.8787e+01
2.90476846e+04, -5.4545e+00, -8.8533e+01
2.86576569e+04, -5.3412e+00, -8.8276e+01
2.82728662e+04, -5.2321e+00, -8.8029e+01
2.78932421e+04, -5.1195e+00, -8.7785e+01
2.75187152e+04, -5.0091e+00, -8.7530e+01
2.71492172e+04, -4.8992e+00, -8.7268e+01
2.67846805e+04, -4.7833e+00, -8.7039e+01
2.64250385e+04, -4.6717e+00, -8.6784e+01
2.60702255e+04, -4.5606e+00, -8.6524e+01
2.57201766e+04, -4.4494e+00, -8.6270e+01
2.53748278e+04, -4.3329e+00, -8.6019e+01
2.50341161e+04, -4.2236e+00, -8.5765e+01
2.46979792e+04, -4.1125e+00, -8.5511e+01
2.43663556e+04, -3.9977e+00, -8.5274e+01
2.40391849e+04, -3.8885e+00, -8.5018e+01
2.37164070e+04, -3.7765e+00, -8.4755e+01
2.33979632e+04, -3.6655e+00, -8.4518e+01
2.30837952e+04, -3.5535e+00, -8.4248e+01
2.27738455e+04, -3.4464e+00, -8.3995e+01
2.24680576e+04, -3.3379e+00, -8.3744e+01
2.21663755e+04, -3.2275e+00, -8.3480e+01
2.18687442e+04, -3.1171e+00, -8.3227e+01
2.15751092e+04, -3.0052e+00, -8.2977e+01
2.12854169e+04, -2.8939e+00, -8.2717e+01
2.09996144e+04, -2.7890e+00, -8.2445e+01
2.07176494e+04, -2.6788e+00, -8.2209e+01
2.04394703e+04, -2.5707e+00, -8.1932e+01
2.01650264e+04, -2.4600e+00, -8.1672e+01
1.98942675e+04, -2.3528e+00, -8.1420e+01
1.96271441e+04, -2.2439e+00, -8.1149e+01
1.93636075e+04, -2.1389e+00, -8.0885e+01
1.91036093e+04, -2.0286e+00, -8.0618e+01
1.88471022e+04, -1.9172e+00, -8.0360e+01
1.85940393e+04, -1.8129e+00, -8.0077e+01
1.83443743e+04, -1.7042e+00, -7.9822e+01
1.80980616e+04, -1.5946e+00, -7.9555e+01
1.78550561e+04, -1.4908e+00, -7.9294e+01
1.76153135e+04, -1.3855e+00, -7.9007e+01
1.73787900e+04, -1.2797e+00, -7.8744e+01
1.71454424e+04, -1.1729e+00, -7.8467e+01
1.69152279e+04, -1.0688e+00, -7.8182e+01
1.66881045e+04, -9.6370e-01, -7.7907e+01
1.64640308e+04, -8.5625e-01, -7.7639e+01
1.62429657e+04, -7.4862e-01, -7.7358e+01
1.60248689e+04, -6.4367e-01, -7.7066e+01
1.58097006e+04, -5.4121e-01, -7.6796e+01
1.55974213e+04, -4.3408e-01, -7.6506e+01
1.53879923e+04, -3.2955e-01, -7.6224e+01
1.51813754e+04, -2.2838e-01, -7.5948e+01
1.49775327e+04, -1.2265e-01, -7.5655e+01
1.47764271e+04, -2.0090e-02, -7.5369e+01
1.45780218e+04, 8.3566e-02, -7.5077e+01
1.43822804e+04, 1.8761e-01, -7.4790e+01
1.41891673e+04, 2.9323e-01, -7.4505e+01
1.39986472e+04, 3.9593e-01, -7.4192e+01
1.38106852e+04, 4.9568e-01, -7.3914e+01
1.36252471e+04, 6.0046e-01, -7.3600e+01
1.34422988e+04, 6.9812e-01, -7.3315e+01
1.32618070e+04, 8.0066e-01, -7.3008e+01
1.30837387e+04, 9.0035e-01, -7.2713e+01
1.29080613e+04, 1.0029e+00, -7.2401e+01
1.27347428e+04, 1.1022e+00, -7.2097e+01
1.25637514e+04, 1.2046e+00, -7.1787e+01
1.23950560e+04, 1.3047e+00, -7.1470e+01
1.22286257e+04, 1.4017e+00, -7.1162e+01
1.20644301e+04, 1.5025e+00, -7.0843e+01
1.19024391e+04, 1.5996e+00, -7.0535e+01
1.17426232e+04, 1.6987e+00, -7.0229e+01
1.15849532e+04, 1.7962e+00, -6.9903e+01
1.14294003e+04, 1.8960e+00, -6.9581e+01
1.12759360e+04, 1.9898e+00, -6.9263e+01
1.11245323e+04, 2.0891e+00, -6.8935e+01
1.09751615e+04, 2.1849e+00, -6.8605e+01
1.08277963e+04, 2.2795e+00, -6.8279e+01
1.06824098e+04, 2.3761e+00, -6.7959e+01
1.05389755e+04, 2.4718e+00, -6.7621e+01
1.03974670e+04, 2.5675e+00, -6.7290e+01
1.02578586e+04, 2.6597e+00, -6.6945e+01
1.01201248e+04, 2.7549e+00, -6.6615e+01
9.98424033e+03, 2.8467e+00, -6.6283e+01
9.85018041e+03, 2.9399e+00, -6.5935e+01
9.71792053e+03, 3.0316e+00, -6.5595e+01
9.58743652e+03, 3.1212e+00, -6.5242e+01
9.45870454e+03, 3.2151e+00, -6.4913e+01
9.33170106e+03, 3.3065e+00, -6.4548e+01
9.20640288e+03, 3.3956e+00, -6.4208e+01
9.08278710e+03, 3.4866e+00, -6.3852e+01
8.96083113e+03, 3.5746e+00, -6.3511e+01
8.84051267e+03, 3.6636e+00, -6.3149e+01
8.72180976e+03, 3.7504e+00, -6.2771e+01
8.60470068e+03, 3.8422e+00, -6.2440e+01
8.48916405e+03, 3.9288e+00, -6.2069e+01
8.37517874e+03, 4.0149e+00, -6.1692e+01
8.26272393e+03, 4.0983e+00, -6.1342e+01
8.15177907e+03, 4.1838e+00, -6.0960e+01
8.04232388e+03, 4.2680e+00, -6.0602e+01
7.93433837e+03, 4.3526e+00, -6.0242e+01
7.82780279e+03, 4.4381e+00, -5.9865e+01
7.72269768e+03, 4.5209e+00, -5.9498e+01
7.61900384e+03, 4.6017e+00, -5.9131e+01
7.51670231e+03, 4.6841e+00, -5.8743e+01
7.41577439e+03, 4.7627e+00, -5.8371e+01
7.31620165e+03, 4.8448e+00, -5.8001e+01
7.21796589e+03, 4.9239e+00, -5.7608e+01
7.12104916e+03, 5.0056e+00, -5.7227e+01
7.02543374e+03, 5.0830e+00, -5.6854e+01
6.93110217e+03, 5.1596e+00, -5.6476e+01
6.83803720e+03, 5.2376e+00, -5.6080e+01
6.74622182e+03, 5.3146e+00, -5.5692e+01
6.65563927e+03, 5.3892e+00, -5.5316e+01
6.56627298e+03, 5.4654e+00, -5.4918e+01
6.47810663e+03, 5.5370e+00, -5.4530e+01
6.39112410e+03, 5.6156e+00, -5.4134e+01
6.30530949e+03, 5.6874e+00, -5.3757e+01
6.22064714e+03, 5.7602e+00, -5.3341e+01
6.13712155e+03, 5.8324e+00, -5.2964e+01
6.05471748e+03, 5.9010e+00, -5.2573e+01
5.97341986e+03, 5.9725e+00, -5.2181e+01
5.89321384e+03, 6.0424e+00, -5.1776e+01
5.81408475e+03, 6.1110e+00, -5.1383e+01
5.73601815e+03, 6.1796e+00, -5.0997e+01
5.65899975e+03, 6.2466e+00, -5.0581e+01
5.58301550e+03, 6.3117e+00, -5.0191e+01
5.50805149e+03, 6.3797e+00, -4.9790e+01
5.43409404e+03, 6.4419e+00, -4.9405e+01
5.36112963e+03, 6.5079e+00, -4.9002e+01
5.28914492e+03, 6.5731e+00, -4.8612e+01
5.21812676e+03, 6.6341e+00, -4.8199e+01
5.14806217e+03, 6.6982e+00, -4.7802e+01
5.07893835e+03, 6.7572e+00, -4.7400e+01
5.01074267e+03, 6.8197e+00, -4.7013e+01
4.94346266e+03, 6.8810e+00, -4.6609e+01
4.87708603e+03, 6.9398e+00, -4.6211e+01
4.81160065e+03, 6.9946e+00, -4.5823e+01
4.74699455e+03, 7.0541e+00, -4.5427e+01
4.68325592e+03, 7.1090e+00, -4.5013e+01
4.62037313e+03, 7.1644e+00, -4.4616e+01
4.55833467e+03, 7.2198e+00, -4.4207e+01
4.49712921e+03, 7.2763e+00, -4.3824e+01
4.43674557e+03, 7.3312e+00, -4.3419e+01
4.37717271e+03, 7.3809e+00, -4.3021e+01
4.31839974e+03, 7.4341e+00, -4.2628e+01
4.26041592e+03, 7.4848e+00, -4.2235e+01
4.20321067e+03, 7.5356e+00, -4.1853e+01
4.14677351e+03, 7.5842e+00, -4.1464e+01
4.09109415e+03, 7.6337e+00, -4.1066e+01
4.03616240e+03, 7.6827e+00, -4.0666e+01
3.98196823e+03, 7.7299e+00, -4.0292e+01
3.92850173e+03, 7.7760e+00, -3.9901e+01
3.87575314e+03, 7.8216e+00, -3.9505e+01
3.82371281e+03, 7.8654e+00, -3.9133e+01
3.77237123e+03, 7.9120e+00, -3.8738e+01
3.72171902e+03, 7.9563e+00, -3.8364e+01
3.67174693e+03, 7.9995e+00, -3.7977e+01
3.62244582e+03, 8.0426e+00, -3.7584e+01
3.57380669e+03, 8.0852e+00, -3.7210e+01
3.52582064e+03, 8.1231e+00, -3.6835e+01
3.47847890e+03, 8.1654e+00, -3.6459e+01
3.43177283e+03, 8.2051e+00, -3.6085e+01
3.38569389e+03, 8.2408e+00, -3.5727e+01
3.34023366e+03, 8.2822e+00, -3.5350e+01
3.29538383e+03, 8.3203e+00, -3.4987e+01
3.25113621e+03, 8.3568e+00, -3.4609e+01
3.20748271e+03, 8.3948e+00, -3.4260e+01
3.16441534e+03, 8.4294e+00, -3.3888e+01
3.12192625e+03, 8.4629e+00, -3.3542e+01
3.08000767e+03, 8.4982e+00, -3.3161e+01
3.03865194e+03, 8.5302e+00, -3.2804e+01
2.99785149e+03, 8.5647e+00, -3.2471e+01
2.95759888e+03, 8.5951e+00, -3.2100e+01
2.91788675e+03, 8.6282e+00, -3.1751e+01
2.87870784e+03, 8.6597e+00, -3.1421e+01
2.84005498e+03, 8.6881e+00, -3.1068e+01
2.80192113e+03, 8.7205e+00, -3.0723e+01
2.76429931e+03, 8.7502e+00, -3.0406e+01
2.72718264e+03, 8.7777e+00, -3.0074e+01
2.69056434e+03, 8.8055e+00, -2.9711e+01
2.65443772e+03, 8.8333e+00, -2.9380e+01
2.61879618e+03, 8.8608e+00, -2.9047e+01
2.58363320e+03, 8.8877e+00, -2.8710e+01
2.54894236e+03, 8.9150e+00, -2.8379e+01
2.51471732e+03, 8.9393e+00, -2.8072e+01
2.48095182e+03, 8.9663e+00, -2.7737e+01
2.44763970e+03, 8.9893e+00, -2.7433e+01
2.41477487e+03, 9.0130e+00, -2.7125e+01
2.38235132e+03, 9.0327e+00, -2.6797e+01
2.35036312e+03, 9.0566e+00, -2.6491e+01
2.31880444e+03, 9.0796e+00, -2.6181e+01
2.28766949e+03, 9.1025e+00, -2.5877e+01
2.25695261e+03, 9.1239e+00, -2.5574e+01
2.22664816e+03, 9.1441e+00, -2.5261e+01
2.19675061e+03, 9.1641e+00, -2.4960e+01
2.16725450e+03, 9.1848e+00, -2.4665e+01
2.13815445e+03, 9.2054e+00, -2.4379e+01
2.10944512e+03, 9.2225e+00, -2.4096e+01
2.08112128e+03, 9.2416e+00, -2.3809e+01
2.05317774e+03, 9.2571e+00, -2.3516e+01
2.02560941e+03, 9.2772e+00, -2.3252e+01
1.99841124e+03, 9.2941e+00, -2.2949e+01
1.97157827e+03, 9.3151e+00, -2.2676e+01
1.94510558e+03, 9.3339e+00, -2.2405e+01
1.91898835e+03, 9.3514e+00, -2.2131e+01
1.89322180e+03, 9.3601e+00, -2.1851e+01
1.86780122e+03, 9.3769e+00, -2.1581e+01
1.84272197e+03, 9.3940e+00, -2.1347e+01
1.81797946e+03, 9.4116e+00, -2.1080e+01
1.79356917e+03, 9.4243e+00, -2.0809e+01
1.76948664e+03, 9.4343e+00, -2.0560e+01
1.74572747e+03, 9.4504e+00, -2.0297e+01
1.72228732e+03, 9.4668e+00, -2.0072e+01
1.69916191e+03, 9.4792e+00, -1.9811e+01
1.67634700e+03, 9.4915e+00, -1.9545e+01
1.65383843e+03, 9.5024e+00, -1.9316e+01
1.63163209e+03, 9.5143e+00, -1.9084e+01
1.60972392e+03, 9.5244e+00, -1.8818e+01
1.58810991e+03, 9.5391e+00, -1.8591e+01
1.56678611e+03, 9.5506e+00, -1.8377e+01
1.54574863e+03, 9.5621e+00, -1.8134e+01
1.52499363e+03, 9.5729e+00, -1.7913e+01
1.50451731e+03, 9.5796e+00, -1.7706e+01
1.48431592e+03, 9.5934e+00, -1.7471e+01
1.46438579e+03, 9.6046e+00, -1.7246e+01
1.44472325e+03, 9.6144e+00, -1.7012e+01
1.42532473e+03, 9.6253e+00, -1.6822e+01
1.40618668e+03, 9.6325e+00, -1.6591e+01
1.38730560e+03, 9.6373e+00, -1.6406e+01
1.36867803e+03, 9.6521e+00, -1.6178e+01
1.35030058e+03, 9.6615e+00, -1.5981e+01
1.33216989e+03, 9.6685e+00, -1.5780e+01
1.31428264e+03, 9.6776e+00, -1.5592e+01
1.29663556e+03, 9.6818e+00, -1.5365e+01
1.27922544e+03, 9.6936e+00, -1.5184e+01
1.26204908e+03, 9.7047e+00, -1.4998e+01
1.24510336e+03, 9.7055e+00, -1.4806e+01
1.22838516e+03, 9.7173e+00, -1.4635e+01
1.21189145e+03, 9.7235e+00, -1.4400e+01
1.19561920e+03, 9.7305e+00, -1.4254e+01
1.17956543e+03, 9.7405e+00, -1.4052e+01
1.16372723e+03, 9.7399e+00, -1.3875e+01
1.14810168e+03, 9.7517e+00, -1.3677e+01
1.13268595e+03, 9.7546e+00, -1.3525e+01
1.11747720e+03, 9.7611e+00, -1.3333e+01
1.10247266e+03, 9.7681e+00, -1.3166e+01
1.08766959e+03, 9.7721e+00, -1.2989e+01
1.07306529e+03, 9.7820e+00, -1.2806e+01
1.05865707e+03, 9.7834e+00, -1.2665e+01
1.04444232e+03, 9.7914e+00, -1.2506e+01
1.03041844e+03, 9.7970e+00, -1.2333e+01
1.01658285e+03, 9.7976e+00, -1.2166e+01
1.00293304e+03, 9.8038e+00, -1.2034e+01
9.89466501e+02, 9.8132e+00, -1.1851e+01
9.76180783e+02, 9.8157e+00, -1.1697e+01
9.63073454e+02, 9.8256e+00, -1.1557e+01
9.50142119e+02, 9.8265e+00, -1.1370e+01
9.37384415e+02, 9.8255e+00, -1.1240e+01
9.24798011e+02, 9.8368e+00, -1.1109e+01
9.12380606e+02, 9.8343e+00, -1.0963e+01
9.00129932e+02, 9.8389e+00, -1.0826e+01
8.88043749e+02, 9.8462e+00, -1.0689e+01
8.76119850e+02, 9.8493e+00, -1.0552e+01
8.64356054e+02, 9.8514e+00, -1.0414e+01
8.52750213e+02, 9.8547e+00, -1.0259e+01
8.41300205e+02, 9.8572e+00, -1.0163e+01
8.30003939e+02, 9.8695e+00, -9.9759e+00
8.18859349e+02, 9.8699e+00, -9.8506e+00
8.07864399e+02, 9.8736e+00, -9.7209e+00
7.97017080e+02, 9.8815e+00, -9.6018e+00
7.86315409e+02, 9.8696e+00, -9.5034e+00
7.75757432e+02, 9.8750e+00, -9.3603e+00
7.65341218e+02, 9.8880e+00, -9.2397e+00
7.55064864e+02, 9.8875e+00, -9.0657e+00
7.44926492e+02, 9.8956e+00, -9.0240e+00
7.34924250e+02, 9.8936e+00, -8.8628e+00
7.25056310e+02, 9.8954e+00, -8.7661e+00
7.15320868e+02, 9.9051e+00, -8.6489e+00
7.05716145e+02, 9.9007e+00, -8.5292e+00
6.96240386e+02, 9.9007e+00, -8.4196e+00
6.86891859e+02, 9.9087e+00, -8.3236e+00
6.77668857e+02, 9.9059e+00, -8.1971e+00
6.68569694e+02, 9.9133e+00, -8.0620e+00
6.59592706e+02, 9.9137e+00, -7.9950e+00
6.50736254e+02, 9.9143e+00, -7.9035e+00
6.41998718e+02, 9.9164e+00, -7.7488e+00
6.33378503e+02, 9.9152e+00, -7.6662e+00
6.24874033e+02, 9.9194e+00, -7.5626e+00
6.16483753e+02, 9.9208e+00, -7.4682e+00
6.08206132e+02, 9.9292e+00, -7.3830e+00
6.00039655e+02, 9.9243e+00, -7.2498e+00
5.91982830e+02, 9.9324e+00, -7.1828e+00
5.84034186e+02, 9.9317e+00, -7.0826e+00
5.76192270e+02, 9.9282e+00, -7.0027e+00
5.68455648e+02, 9.9365e+00, -6.8755e+00
5.60822907e+02, 9.9391e+00, -6.7905e+00
5.53292652e+02, 9.9418e+00, -6.7027e+00
5.45863506e+02, 9.9410e+00, -6.6532e+00
5.38534113e+02, 9.9477e+00, -6.5342e+00
5.31303133e+02, 9.9411e+00, -6.4681e+00
5.24169245e+02, 9.9452e+00, -6.3644e+00
5.17131144e+02, 9.9400e+00, -6.2826e+00
5.10187545e+02, 9.9393e+00, -6.2077e+00
5.03337179e+02, 9.9486e+00, -6.1248e+00
4.96578793e+02, 9.9465e+00, -6.0421e+00
4.89911154e+02, 9.9598e+00, -5.9630e+00
4.83333041e+02, 9.9520e+00, -5.8777e+00
4.76843255e+02, 9.9547e+00, -5.8507e+00
4.70440607e+02, 9.9609e+00, -5.7284e+00
4.64123929e+02, 9.9562e+00, -5.6381e+00
4.57892066e+02, 9.9563e+00, -5.5802e+00
4.51743879e+02, 9.9577e+00, -5.5007e+00
4.45678245e+02, 9.9611e+00, -5.4450e+00
4.39694055e+02, 9.9651e+00, -5.3493e+00
4.33790215e+02, 9.9622e+00, -5.2912e+00
4.27965647e+02, 9.9653e+00, -5.2130e+00
4.22219287e+02, 9.9626e+00, -5.1488e+00
4.16550084e+02, 9.9589e+00, -5.0467e+00
