% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 10.88 ms, time offset -555.9 us, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-20 T 17:01:03 +1100
% Time (s), Channel A (Input 1) (V), Freq (Hz), Math (Ch A FFT) (dBm)
-4.058880000000e-03, -5.349292e-01, 8.279040e-04, -4.556368e+01
-4.048128000000e-03, -4.335613e-01, 8.386560e-04, -4.552062e+01
-4.037376000000e-03, -3.663899e-01, 8.494080e-04, -4.731694e+01
-4.026624000000e-03, -2.454812e-01, 8.601600e-04, -5.134774e+01
-4.015872000000e-03, -1.001466e-01, 8.709120e-04, -5.787219e+01
-4.005120000000e-03, 1.709819e-02, 8.816640e-04, -6.453869e+01
-3.994368000000e-03, 1.013679e-01, 8.924160e-04, -6.391716e+01
-3.983616000000e-03, 2.564729e-01, 9.031680e-04, -6.416284e+01
-3.972864000000e-03, 3.932584e-01, 9.139200e-04, -6.661556e+01
-3.962112000000e-03, 4.689790e-01, 9.246720e-04, -6.999859e+01
-3.951360000000e-03, 5.605765e-01, 9.354240e-04, -7.552473e+01
-3.940608000000e-03, 6.656082e-01, 9.461760e-04, -6.955492e+01
-3.929856000000e-03, 7.401075e-01, 9.569280e-04, -6.507254e+01
-3.919104000000e-03, 7.608696e-01, 9.676800e-04, -6.507809e+01
-3.908352000000e-03, 8.060577e-01, 9.784320e-04, -6.620066e+01
-3.897600000000e-03, 8.524671e-01, 9.891840e-04, -6.650234e+01
-3.886848000000e-03, 8.707866e-01, 9.999360e-04, -6.854998e+01
-3.876096000000e-03, 8.671227e-01, 1.010688e-03, -7.428027e+01
-3.865344000000e-03, 8.817783e-01, 1.021440e-03, -6.144305e+01
-3.854592000000e-03, 8.878848e-01, 1.032192e-03, -5.249551e+01
-3.843840000000e-03, 7.999512e-01, 1.042944e-03, -4.753417e+01
-3.833088000000e-03, 7.486566e-01, 1.053696e-03, -4.566156e+01
-3.822336000000e-03, 7.144602e-01, 1.064448e-03, -4.677680e+01
-3.811584000000e-03, 6.289693e-01, 1.075200e-03, -5.171351e+01
-3.800832000000e-03, 5.031754e-01, 1.085952e-03, -6.624264e+01
-3.790080000000e-03, 4.018075e-01, 1.096704e-03, -6.302793e+01
-3.779328000000e-03, 3.273083e-01, 1.107456e-03, -6.285665e+01
-3.768576000000e-03, 1.770884e-01, 1.118208e-03, -7.007823e+01
-3.757824000000e-03, 3.908158e-02, 1.128960e-03, -6.525019e+01
-3.747072000000e-03, -5.617978e-02, 1.139712e-03, -5.603437e+01
-3.736320000000e-03, -1.587689e-01, 1.150464e-03, -5.046698e+01
-3.725568000000e-03, -3.102101e-01, 1.161216e-03, -4.775316e+01
-3.714816000000e-03, -4.372252e-01, 1.171968e-03, -4.755081e+01
-3.704064000000e-03, -4.946263e-01, 1.182720e-03, -4.978305e+01
-3.693312000000e-03, -5.911090e-01, 1.193472e-03, -5.431553e+01
-3.682560000000e-03, -6.936981e-01, 1.204224e-03, -6.027773e+01
-3.671808000000e-03, -7.559844e-01, 1.214976e-03, -6.548210e+01
-3.661056000000e-03, -7.816317e-01, 1.225728e-03, -6.971084e+01
-3.650304000000e-03, -8.182707e-01, 1.236480e-03, -7.582002e+01
-3.639552000000e-03, -8.451393e-01, 1.247232e-03, -7.834442e+01
-3.628800000000e-03, -8.158281e-01, 1.257984e-03, -7.210591e+01
-3.618048000000e-03, -8.292624e-01, 1.268736e-03, -6.998797e+01
-3.607296000000e-03, -8.500245e-01, 1.279488e-03, -7.355691e+01
-3.596544000000e-03, -8.146068e-01, 1.290240e-03, -5.900164e+01
-3.585792000000e-03, -7.278945e-01, 1.300992e-03, -5.278501e+01
-3.575040000000e-03, -6.680508e-01, 1.311744e-03, -5.055097e+01
-3.564288000000e-03, -6.289693e-01, 1.322496e-03, -5.100659e+01
-3.553536000000e-03, -5.068393e-01, 1.333248e-03, -5.381403e+01
-3.542784000000e-03, -3.895945e-01, 1.344000e-03, -5.852488e+01
-3.532032000000e-03, -3.004397e-01, 1.354752e-03, -6.456065e+01
-3.521280000000e-03, -2.027357e-01, 1.365504e-03, -5.960125e+01
-3.510528000000e-03, -4.396678e-02, 1.376256e-03, -6.998845e+01
-3.499776000000e-03, 8.915487e-02, 1.387008e-03, -4.123759e+01
-3.489024000000e-03, 1.697606e-01, 1.397760e-03, -3.177994e+01
-3.478272000000e-03, 3.016610e-01, 1.408512e-03, -2.697738e+01
-3.467520000000e-03, 4.384465e-01, 1.419264e-03, -2.530829e+01
-3.456768000000e-03, 5.373718e-01, 1.430016e-03, -2.644691e+01
-3.446016000000e-03, 5.911090e-01, 1.440768e-03, -3.069094e+01
-3.435264000000e-03, 6.765999e-01, 1.451520e-03, -3.955845e+01
-3.424512000000e-03, 7.510992e-01, 1.462272e-03, -6.907869e+01
-3.413760000000e-03, 7.852956e-01, 1.473024e-03, -5.422114e+01
-3.403008000000e-03, 8.341476e-01, 1.483776e-03, -6.390872e+01
-3.392256000000e-03, 8.842209e-01, 1.494528e-03, -6.761933e+01
-3.381504000000e-03, 9.037616e-01, 1.505280e-03, -6.491876e+01
-3.370752000000e-03, 8.573523e-01, 1.516032e-03, -6.501987e+01
-3.360000000000e-03, 8.610162e-01, 1.526784e-03, -7.149222e+01
-3.349248000000e-03, 8.671227e-01, 1.537536e-03, -6.968310e+01
-3.338496000000e-03, 7.938447e-01, 1.548288e-03, -6.918935e+01
-3.327744000000e-03, 7.132389e-01, 1.559040e-03, -6.985214e+01
-3.316992000000e-03, 6.570591e-01, 1.569792e-03, -7.073962e+01
-3.306240000000e-03, 5.923303e-01, 1.580544e-03, -7.494143e+01
-3.295488000000e-03, 4.518808e-01, 1.591296e-03, -8.307640e+01
-3.284736000000e-03, 3.383000e-01, 1.602048e-03, -6.953491e+01
-3.273984000000e-03, 2.589155e-01, 1.612800e-03, -6.265429e+01
-3.263232000000e-03, 1.343429e-01, 1.623552e-03, -5.792576e+01
-3.252480000000e-03, -1.831949e-02, 1.634304e-03, -5.428694e+01
-3.241728000000e-03, -1.355642e-01, 1.645056e-03, -5.128021e+01
-3.230976000000e-03, -2.161700e-01, 1.655808e-03, -4.888781e+01
-3.220224000000e-03, -3.651686e-01, 1.666560e-03, -4.761214e+01
-3.209472000000e-03, -4.946263e-01, 1.677312e-03, -4.801640e+01
-3.198720000000e-03, -5.605765e-01, 1.688064e-03, -5.057973e+01
-3.187968000000e-03, -6.387396e-01, 1.698816e-03, -5.600163e+01
-3.177216000000e-03, -7.193454e-01, 1.709568e-03, -6.615901e+01
-3.166464000000e-03, -7.755252e-01, 1.720320e-03, -6.822613e+01
-3.155712000000e-03, -7.706400e-01, 1.731072e-03, -6.302594e+01
-3.144960000000e-03, -8.097216e-01, 1.741824e-03, -6.013482e+01
-3.134208000000e-03, -8.439180e-01, 1.752576e-03, -5.878452e+01
-3.123456000000e-03, -8.439180e-01, 1.763328e-03, -5.922830e+01
-3.112704000000e-03, -8.170494e-01, 1.774080e-03, -6.128648e+01
-3.101952000000e-03, -8.170494e-01, 1.784832e-03, -6.420485e+01
-3.091200000000e-03, -8.085003e-01, 1.795584e-03, -6.700294e+01
-3.080448000000e-03, -7.022472e-01, 1.806336e-03, -6.946259e+01
-3.069696000000e-03, -6.289693e-01, 1.817088e-03, -7.177806e+01
-3.058944000000e-03, -5.727895e-01, 1.827840e-03, -7.189167e+01
-3.048192000000e-03, -4.775281e-01, 1.838592e-03, -7.017786e+01
-3.037440000000e-03, -3.334148e-01, 1.849344e-03, -6.959095e+01
-3.026688000000e-03, -2.247191e-01, 1.860096e-03, -7.108108e+01
-3.015936000000e-03, -1.441133e-01, 1.870848e-03, -7.483973e+01
-3.005184000000e-03, 8.549097e-03, 1.881600e-03, -7.156653e+01
